연도,매출액,매출원가,당기순손익
2013(S),"596,201,963,034","835,326,052,218","-287,680,509,568"
2014(S),"647,488,542,280","863,833,829,902","-265,836,117,117"
2015(S),"689,223,983,780","897,941,397,776","-271,049,690,618"
2016(S),"722,016,684,580","947,485,825,652","-272,801,235,816"
